Hours,Minutes,Day,AvgSum,Predicted 2030 NatGas
0,0,00,23115.18,5828.295730575741
0,5,00,23098.68,5818.418343041718
0,10,00,23050.93,5790.721220101488
0,15,00,22997.68,5759.887823729769
0,20,00,22940.93,5727.058616992552
0,25,00,22865.43,5683.5375690116125
0,30,00,22756.18,5620.771206791971
0,35,00,22691.68,5583.522705674017
0,40,00,22628.18,5546.844436089061
0,45,00,22559.68,5507.31500883911
0,50,00,22461.93,5451.106309248953
0,55,00,22387.93,5408.440608567511
1,0,00,22319.93,5369.71052889018
1,5,00,22240.43,5323.9085547772465
1,10,00,22163.93,5279.817275263309
1,15,00,22089.93,5237.151574581869
1,20,00,22022.43,5198.1923788649165
1,25,00,21940.93,5151.249941685985
1,30,00,21878.68,5115.284461517278
1,35,00,21839.18,5092.291748724287
1,40,00,21789.18,5063.311604834813
1,45,00,21728.93,5028.486587732101
1,50,00,21648.68,4982.256939969418
1,55,00,21611.93,4960.832363892174
2,0,00,21552.68,4927.091810128581
2,5,00,21528.68,4912.937686097068
2,10,00,21501.93,4897.21542534981
2,15,00,21498.18,4894.608489861519
2,20,00,21429.93,4855.221620494818
2,25,00,21365.93,4818.258235143363
2,30,00,21317.43,4790.133438553385
2,35,00,21276.68,4766.427936344147
2,40,00,21248.18,4749.707770414141
2,45,00,21226.43,4736.836667331876
2,50,00,21190.18,4715.69720702113
2,55,00,21129.18,4680.44451626867
3,0,00,21063.93,4643.282573307084
3,5,00,21114.93,4671.895814250465
3,10,00,21131.18,4680.693509422146
3,15,00,21113.93,4670.388448238375
3,20,00,21093.18,4658.087576689106
3,25,00,21070.93,4644.931357840342
3,30,00,21051.93,4633.6283914738215
3,35,00,21014.68,4611.91869963008
3,40,00,20972.93,4587.642965887842
3,45,00,20947.68,4572.776052440082
3,50,00,20964.43,4581.858863378262
3,55,00,20947.18,4571.5538021944885
4,0,00,20934.93,4564.614130481828
4,5,00,20958.43,4577.546004267748
4,10,00,21000.18,4600.8846035308925
4,15,00,20989.18,4594.143489428363
4,20,00,20969.93,4582.697965178591
4,25,00,20988.68,4592.92123918277
4,30,00,21008.18,4603.5721868366945
4,35,00,21022.68,4611.371976825629
4,40,00,21027.18,4613.469451484576
4,45,00,21050.18,4626.116209503996
4,50,00,21072.93,4638.620409640167
4,55,00,21128.18,4669.65713459879
5,0,00,21129.93,4670.700704348112
5,5,00,21280.43,4756.051982824851
5,10,00,21380.18,4812.464011001914
5,15,00,21421.18,4835.37493661531
5,20,00,21470.93,4863.275388142441
5,25,00,21523.68,4892.886534268569
5,30,00,21546.68,4905.53329228799
5,35,00,21591.43,4930.582586150131
5,40,00,21584.68,4926.264956062843
5,45,00,21599.93,4934.492419701526
5,50,00,21655.68,4965.81426042665
5,55,00,21669.93,4973.4714925323315
6,0,00,21796.43,5045.651446023225
6,5,00,22049.68,5189.594014515569
6,10,00,22207.18,5278.936913723299
6,15,00,22261.68,5309.545965032175
6,20,00,22305.43,5334.0250273613165
6,25,00,22331.18,5348.2399220964835
6,30,00,22427.43,5402.656139908049
6,35,00,22507.18,5447.66353742514
6,40,00,22558.93,5476.70445201827
6,45,00,22604.18,5502.03886164691
6,50,00,22628.93,5515.683524849079
6,55,00,22650.43,5527.474935569
7,0,00,22577.0,5485.648498667486
7,5,00,22686.75,5547.762842174534
7,10,00,22691.5,5550.002874716731
7,15,00,22692.75,5550.247096893434
7,20,00,22682.5,5543.933656440651
7,25,00,22674.0,5538.618121170615
7,30,00,22698.5,5552.120226489535
7,35,00,22699.5,5552.2218907829865
7,40,00,22685.0,5543.484966314962
7,45,00,22654.0,5525.33922155246
7,50,00,22690.25,5545.541547384111
7,55,00,22676.5,5537.232296565835
8,0,00,22606.5,5497.361753822504
8,5,00,22585.5,5484.918324389988
8,10,00,22574.25,5478.034652404209
8,15,00,22581.25,5481.557705895651
8,20,00,22505.5,5437.894100031464
8,25,00,22608.75,5496.301938574019
8,30,00,22615.75,5499.824992065463
8,35,00,22603.5,5492.371088546684
8,40,00,22651.25,5519.13107700782
8,45,00,22607.0,5493.429764433087
8,50,00,22564.25,5468.58379915785
8,55,00,22482.0,5421.213688329171
9,0,00,22419.25,5385.477324200081
9,5,00,22373.0,5358.63554855935
9,10,00,22280.0,5305.135448750936
9,15,00,22186.25,5251.207675292773
9,20,00,22113.25,5209.112206144331
9,25,00,22075.5,5187.1173985340865
9,30,00,21933.0,5105.390837842242
9,35,00,21877.5,5073.274420521275
9,40,00,21824.75,5042.726139916054
9,45,00,21737.25,4992.362313539132
9,50,00,21627.25,4929.168277669742
9,55,00,21509.0,4861.269831653113
10,0,00,21393.75,4795.596312041598
10,5,00,21400.5,4798.976807649793
10,10,00,21308.75,4746.1894972576265
10,15,00,21289.75,4734.886530891106
10,20,00,21221.0,4695.214545757908
10,25,00,21137.5,4647.13164551298
10,30,00,21058.25,4601.472229283296
10,35,00,20966.75,4548.827476774379
10,40,00,20875.25,4496.182724265464
10,45,00,20835.0,4472.762337822724
10,50,00,20785.0,4443.782193933248
10,55,00,20734.0,4414.231818510774
11,0,00,20677.25,4381.916843579676
11,5,00,20604.0,4339.678816547985
11,10,00,20488.5,4273.348507247101
11,15,00,20467.5,4260.905077814585
11,20,00,20392.25,4217.526587716897
11,25,00,20333.0,4183.271802147183
11,30,00,20312.5,4171.113488481165
11,35,00,20266.25,4144.271712840435
11,40,00,20220.75,4117.857610849453
11,45,00,20169.5,4088.1646775437293
11,50,00,20132.25,4066.4549856999856
11,55,00,20084.0,4038.4727469932586
12,0,00,20041.75,4014.4261292906394
12,5,00,20008.75,3995.1399214621397
12,10,00,20025.5,4004.2227324003197
12,15,00,19992.5,3984.93652457182
12,20,00,19996.0,3986.463767697769
12,25,00,19980.25,3977.0140538134947
12,30,00,19985.5,3979.5392021221887
12,35,00,19918.5,3940.865122171739
12,40,00,20025.0,4001.1262131965414
12,45,00,19968.0,3968.154448576075
12,50,00,19970.5,3969.111460169026
12,55,00,20028.75,4001.8588797266475
13,0,00,20120.0,4053.9381716793378
13,5,00,20036.25,4005.71271355116
13,10,00,20033.25,4003.5334517126194
13,15,00,20055.25,4015.6099781990415
13,20,00,20057.75,4016.5669897919925
13,25,00,20090.5,4034.7735052581484
13,30,00,20102.25,4041.005158531334
13,35,00,20170.0,4079.1697776524416
13,40,00,20272.75,4137.292500428499
13,45,00,20332.0,4170.6101515191185
13,50,00,20359.0,4185.537835670535
13,55,00,20457.75,4241.379632314598
14,0,00,20695.25,4376.855285968331
14,5,00,20729.0,4395.632032967487
14,10,00,20777.5,4422.819695078373
14,15,00,20830.5,4452.573399087751
14,20,00,20895.0,4488.884765726612
14,25,00,20914.5,4499.535713380539
14,30,00,21022.5,4560.652151704837
14,35,00,21129.75,4621.3409163793895
14,40,00,21081.25,4593.216119789411
14,45,00,21181.0,4649.628147966474
14,50,00,21253.75,4690.643924752574
14,55,00,21405.0,4776.422876879064
15,0,00,21447.0,4800.418265831575
15,5,00,21554.5,4861.249588389375
15,10,00,21563.75,4866.055662830066
15,15,00,21062.67,4579.85547903559
15,20,00,21084.0,4591.549950394905
15,25,00,21213.0,4664.641250912175
