"County","Sector","2020","Total Usage"
"ALAMEDA","Residential","     216.615141","     216.615141"
"AMADOR","Residential","       2.136004","       2.136004"
"BUTTE","Residential","      21.816990","      21.816990"
"CALAVERAS","Residential","       0.445337","       0.445337"
"COLUSA","Residential","       2.128467","       2.128467"
"CONTRA COSTA","Residential","     172.976757","     172.976757"
"EL DORADO","Residential","      23.861925","      23.861925"
"FRESNO","Residential","     109.987978","     109.987978"
"GLENN","Residential","       2.368116","       2.368116"
"HUMBOLDT","Residential","      19.856278","      19.856278"
"IMPERIAL","Residential","       8.134438","       8.134438"
"KERN","Residential","     101.315519","     101.315519"
"KINGS","Residential","      15.514244","      15.514244"
"LAKE","Residential","",""
"LASSEN","Residential","       1.090945","       1.090945"
"LOS ANGELES","Residential","    1237.999629","    1237.999629"
"MADERA","Residential","       8.695751","       8.695751"
"MARIN","Residential","      50.379266","      50.379266"
"MARIPOSA","Residential","       0.000123","       0.000123"
"MENDOCINO","Residential","       5.481725","       5.481725"
"MERCED","Residential","      26.869034","      26.869034"
"MONTEREY","Residential","      52.333942","      52.333942"
"NAPA","Residential","      20.258155","      20.258155"
"NEVADA","Residential","      13.979074","      13.979074"
"ORANGE","Residential","     387.083078","     387.083078"
"PLACER","Residential","      65.711267","      65.711267"
"RIVERSIDE","Residential","     302.049299","     302.049299"
"SACRAMENTO","Residential","     196.703812","     196.703812"
"SAN BENITO","Residential","       7.201198","       7.201198"
"SAN BERNARDINO","Residential","     267.362800","     267.362800"
"SAN DIEGO","Residential","     302.849797","     302.849797"
"SAN FRANCISCO","Residential","     131.649239","     131.649239"
"SAN JOAQUIN","Residential","      88.802288","      88.802288"
"SAN LUIS OBISPO","Residential","      38.870242","      38.870242"
"SAN MATEO","Residential","     117.998101","     117.998101"
"SANTA BARBARA","Residential","      60.026706","      60.026706"
"SANTA CLARA","Residential","     245.124299","     245.124299"
"SANTA CRUZ","Residential","      33.176687","      33.176687"
"SHASTA","Residential","      17.700493","      17.700493"
"SIERRA","Residential","",""
"SOLANO","Residential","      57.434496","      57.434496"
"SONOMA","Residential","      69.190815","      69.190815"
"STANISLAUS","Residential","      62.617162","      62.617162"
"SUTTER","Residential","      12.002404","      12.002404"
"TEHAMA","Residential","       3.747439","       3.747439"
"TRINITY","Residential","       0.014345","       0.014345"
"TULARE","Residential","      53.273440","      53.273440"
"VENTURA","Residential","     114.785920","     114.785920"
"YOLO","Residential","      25.117667","      25.117667"
"YUBA","Residential","       7.177800","       7.177800"
