Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-43,4894,900,281,194,161,10,2127,5353,1087,-88,7819,0
00:05,-43,5024,900,279,194,160,11,2127,5197,1004,-3,7857,0
00:10,-43,5076,899,285,194,151,11,2127,5060,869,-8,8022,0
00:15,-42,5098,900,285,194,140,10,2126,5024,872,-18,8017,0
00:20,-42,5070,899,284,194,141,11,2128,4928,873,21,8051,0
00:25,-42,5037,900,282,194,141,10,2127,4858,875,-9,8062,0
00:30,-42,5022,899,284,194,141,10,2127,4790,873,29,8010,0
00:35,-42,4849,900,284,194,140,11,2127,4805,888,-4,7935,0
00:40,-42,4743,899,284,195,141,10,2127,4814,911,6,7830,0
00:45,-42,4706,899,284,195,140,10,2127,4759,872,16,7828,0
00:50,-42,4767,899,283,195,140,10,2127,4776,855,-50,7782,0
00:55,-42,4727,898,284,195,140,10,2127,4787,851,43,7715,0
01:00,-42,4694,899,284,195,140,11,2127,4801,877,5,7649,0
01:05,-42,4641,900,286,195,140,12,2126,4923,933,-63,7672,0
01:10,-43,4569,899,286,196,140,12,2126,4912,955,-6,7654,0
01:15,-42,4622,899,284,195,140,11,2126,4833,895,35,7581,0
01:20,-42,4582,898,284,195,140,11,2127,4752,877,-32,7744,0
01:25,-42,4607,899,282,196,140,11,2127,4759,880,-77,7701,0
01:30,-42,4585,900,285,195,140,11,2127,4667,873,-58,7767,0
01:35,-42,4550,899,283,195,140,11,2126,4579,894,-60,7790,0
01:40,-43,4531,900,282,195,140,11,2126,4513,902,-94,7854,0
01:45,-42,4510,899,282,195,140,11,2127,4399,892,-11,7911,0
01:50,-42,4498,900,284,195,140,11,2126,4276,873,-28,7980,0
01:55,-42,4481,899,281,195,140,11,2127,4422,906,-125,7933,0
02:00,-42,4498,898,283,195,140,11,2126,4348,903,-66,7865,0
02:05,-43,4459,899,285,194,140,11,2127,4291,874,-77,7954,0
02:10,-43,4524,899,282,195,140,11,2126,4265,828,-105,7978,0
02:15,-43,4524,899,279,195,139,11,2127,4315,832,-142,8000,0
02:20,-43,4498,898,281,195,139,11,2127,4390,840,-168,7957,0
02:25,-43,4518,899,281,195,140,11,2126,4392,840,-158,7877,0
02:30,-43,4540,899,284,195,141,12,2127,4409,842,-185,7793,0
02:35,-43,4484,900,280,195,140,11,2126,4422,854,-127,7739,0
02:40,-43,4358,900,284,195,139,11,2126,4415,899,-76,7705,0
02:45,-43,4249,900,286,195,140,11,2126,4375,932,-59,7745,0
02:50,-43,4220,901,285,195,140,12,2126,4352,912,-54,7759,0
02:55,-43,4186,900,288,195,139,12,2126,4399,933,-44,7698,0
03:00,-43,4193,900,288,195,139,12,2124,4536,885,-60,7573,0
03:05,-43,4147,900,288,195,140,11,2125,4740,841,45,7452,0
03:10,-43,4071,901,288,196,140,12,2126,4763,838,60,7407,0
03:15,-43,4045,900,287,196,140,11,2125,4742,834,80,7452,0
03:20,-43,4064,901,289,196,140,11,2126,4694,827,98,7438,0
03:25,-43,4099,899,289,196,140,12,2125,4673,828,83,7449,0
03:30,-43,4115,899,289,196,140,12,2125,4667,826,121,7439,0
03:35,-43,4101,900,289,196,140,12,2125,4694,839,88,7429,0
03:40,-43,3997,899,290,195,140,12,2124,4866,851,35,7449,0
03:45,-43,3946,899,290,195,140,12,2124,4889,849,88,7446,0
03:50,-45,3822,900,291,196,139,12,2126,4933,850,45,7521,0
03:55,-44,3800,900,290,196,139,12,2125,4935,839,11,7623,0
04:00,-44,3814,899,289,195,140,11,2125,4855,825,44,7684,0
04:05,-44,3850,899,289,195,139,12,2123,4941,840,68,7641,0
04:10,-44,3926,897,287,195,140,12,2123,5066,840,78,7567,0
04:15,-44,4070,899,289,195,140,11,2124,5031,826,78,7440,0
04:20,-45,4196,899,286,194,140,11,2124,4987,819,88,7442,0
04:25,-45,4277,899,282,195,140,11,2124,4971,814,88,7414,0
04:30,-45,4256,900,283,195,141,11,2124,4976,819,110,7460,0
04:35,-46,4250,899,284,194,140,11,2124,5083,832,126,7355,0
04:40,-45,4212,900,284,196,141,11,2123,5134,848,120,7401,0
04:45,-45,4194,900,286,196,140,11,2124,5120,838,124,7499,0
04:50,-45,4186,900,286,194,140,11,2125,5096,823,118,7596,0
04:55,-45,4111,900,284,194,141,11,2124,5151,877,128,7671,0
05:00,-45,4096,901,279,194,141,11,2125,5130,949,170,7673,0
05:05,-45,4132,900,278,194,141,11,2124,5023,1068,268,7744,0
05:10,-45,4243,900,277,194,141,11,2125,4847,1143,298,7883,0
05:15,-45,4226,899,273,194,141,11,2124,4661,1160,274,8196,0
05:20,-45,4173,900,272,194,141,11,2124,4736,1226,319,8199,0
05:25,-46,4134,900,273,194,140,11,2124,4733,1201,338,8274,0
05:30,-45,4110,900,273,194,140,11,2124,4834,1188,371,8312,0
05:35,-46,4095,900,271,194,140,12,2124,4984,1281,345,8257,0
05:40,-46,4073,900,268,193,140,11,2124,5018,1301,346,8348,0
05:45,-46,4094,900,271,193,140,11,2124,5153,1270,371,8319,0
05:50,-47,4123,900,272,194,139,12,2124,5363,1256,344,8245,0
05:55,-47,4136,898,270,194,160,10,2124,5400,1145,361,8337,0
