INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2018-08-02T05:00:00-00:00,2018-08-02T06:00:00-00:00,0,2018-08-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5768,ACTUAL,1
2018-08-01T15:00:00-00:00,2018-08-01T16:00:00-00:00,0,2018-08-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4341,ACTUAL,1
2018-08-01T19:00:00-00:00,2018-08-01T20:00:00-00:00,0,2018-08-01,13,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5537,ACTUAL,1
2018-08-02T02:00:00-00:00,2018-08-02T03:00:00-00:00,0,2018-08-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6552,ACTUAL,1
2018-08-02T04:00:00-00:00,2018-08-02T05:00:00-00:00,0,2018-08-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6105,ACTUAL,1
2018-08-02T06:00:00-00:00,2018-08-02T07:00:00-00:00,0,2018-08-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5327,ACTUAL,1
2018-08-01T10:00:00-00:00,2018-08-01T11:00:00-00:00,0,2018-08-01,4,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4020,ACTUAL,1
2018-08-01T13:00:00-00:00,2018-08-01T14:00:00-00:00,0,2018-08-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4015,ACTUAL,1
2018-08-01T12:00:00-00:00,2018-08-01T13:00:00-00:00,0,2018-08-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3923,ACTUAL,1
2018-08-01T14:00:00-00:00,2018-08-01T15:00:00-00:00,0,2018-08-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4120,ACTUAL,1
2018-08-02T00:00:00-00:00,2018-08-02T01:00:00-00:00,0,2018-08-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6731,ACTUAL,1
2018-08-01T08:00:00-00:00,2018-08-01T09:00:00-00:00,0,2018-08-01,2,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4347,ACTUAL,1
