Renewables,Natural gas,Large hydro,Imports,Batteries,Nuclear,Coal,Other,Date,Time
2005,8736,3428,7108,-8,1616,-6,0,4/10/2018,0:00
2005,8722,3425,7029,1,1618,-6,0,4/10/2018,0:05
2048,8739,3464,6873,6,1619,-6,0,4/10/2018,0:10
1979,8696,3470,6744,-14,1619,-6,0,4/10/2018,0:15
1980,8605,3454,6757,-38,1616,-6,0,4/10/2018,0:20
1992,8550,3421,6720,-39,1615,-6,0,4/10/2018,0:25
2003,8442,3419,6718,-36,1615,-6,0,4/10/2018,0:30
1994,8365,3385,6727,-35,1616,-6,0,4/10/2018,0:35
1990,8570,3090,6880,-4,1615,-6,0,4/10/2018,0:40
1984,8666,3113,6827,-30,1618,-6,0,4/10/2018,0:45
1967,8574,3054,6861,-34,1617,-6,0,4/10/2018,0:50
1959,8594,3046,6809,-33,1619,-5,0,4/10/2018,0:55
1958,8647,3078,6663,-34,1618,-5,0,4/10/2018,1:00
1961,8648,3155,6535,-35,1613,-5,0,4/10/2018,1:05
1953,8644,3166,6432,-24,1617,-7,0,4/10/2018,1:10
1974,8549,3150,6413,-6,1616,-7,0,4/10/2018,1:15
1991,8472,3147,6378,-6,1617,-6,0,4/10/2018,1:20
2001,8421,3134,6322,-6,1616,-6,0,4/10/2018,1:25
2027,8384,3102,6273,-10,1617,-6,0,4/10/2018,1:30
2030,8366,3106,6246,-13,1616,-6,0,4/10/2018,1:35
2016,8285,3092,6250,-9,1617,-7,0,4/10/2018,1:40
2024,8190,3082,6333,-6,1615,-7,0,4/10/2018,1:45
2016,8187,3071,6283,-10,1615,-8,0,4/10/2018,1:50
2006,8168,3075,6253,-7,1614,-8,0,4/10/2018,1:55
2014,8213,3095,6125,-14,1614,-8,0,4/10/2018,2:00
2027,8033,3123,6221,-9,1617,-8,0,4/10/2018,2:05
2039,8075,3139,6069,-7,1616,-7,0,4/10/2018,2:10
2081,8107,3130,5966,-11,1617,-8,0,4/10/2018,2:15
2121,8226,3100,5815,-37,1618,-8,0,4/10/2018,2:20
2149,8210,3063,5817,-37,1619,-8,0,4/10/2018,2:25
2172,8193,3051,5775,-37,1620,-8,0,4/10/2018,2:30
2216,8332,2856,5850,-29,1616,-8,0,4/10/2018,2:35
2249,8607,2767,5793,-37,1615,-9,0,4/10/2018,2:40
2284,8585,2746,5802,-37,1616,-9,0,4/10/2018,2:45
2304,8506,2732,5826,-42,1616,-7,0,4/10/2018,2:50
2300,8482,2732,5839,-42,1617,-7,0,4/10/2018,2:55
2310,8333,2712,5955,-41,1617,-7,0,4/10/2018,3:00
2341,8155,2671,6092,-21,1618,-7,0,4/10/2018,3:05
2325,8165,2663,6091,-7,1619,-7,0,4/10/2018,3:10
2322,8008,2655,6230,1,1619,-8,0,4/10/2018,3:15
2324,7931,2665,6274,34,1619,-8,0,4/10/2018,3:20
2356,7847,2661,6281,32,1616,-7,0,4/10/2018,3:25
2403,7873,2637,6246,-7,1617,-6,0,4/10/2018,3:30
2437,7918,2644,6200,-25,1617,-6,0,4/10/2018,3:35
2495,7862,2658,6152,-15,1617,-6,0,4/10/2018,3:40
2509,7894,2714,6100,-29,1618,-6,0,4/10/2018,3:45
2481,7791,2770,6164,-30,1617,-7,0,4/10/2018,3:50
2442,7764,2769,6219,-26,1618,-7,0,4/10/2018,3:55
2439,7738,2768,6282,-19,1619,-7,0,4/10/2018,4:00
2463,7741,2789,6285,-9,1619,-6,0,4/10/2018,4:05
2495,7819,2781,6265,-6,1618,-6,0,4/10/2018,4:10
2519,7686,2786,6408,-2,1617,-6,0,4/10/2018,4:15
2543,7305,3104,6310,-3,1615,-6,0,4/10/2018,4:20
2544,7102,3094,6352,-7,1615,-6,0,4/10/2018,4:25
2521,7123,3103,6382,2,1613,-6,0,4/10/2018,4:30
2534,6908,3327,6308,-10,1615,-5,0,4/10/2018,4:35
2518,6575,3444,6365,-2,1616,-5,0,4/10/2018,4:40
2535,6617,3442,6342,-2,1617,-5,0,4/10/2018,4:45
2558,6720,3438,6267,-5,1618,-6,0,4/10/2018,4:50
2519,6718,3444,6349,-5,1619,-6,0,4/10/2018,4:55
2526,6683,3423,6501,-22,1619,-5,0,4/10/2018,5:00
2510,6746,3469,6616,-23,1620,-5,0,4/10/2018,5:05
2480,6824,3495,6710,-18,1620,-5,0,4/10/2018,5:10
2449,6936,3511,6717,-11,1617,-5,0,4/10/2018,5:15
2431,7125,3568,6593,-4,1615,-5,0,4/10/2018,5:20
2423,7160,3569,6645,-3,1616,-5,0,4/10/2018,5:25
2417,7218,3567,6679,-5,1616,-6,0,4/10/2018,5:30
2441,7386,3488,6736,-6,1617,-6,0,4/10/2018,5:35
2433,7584,3565,6670,-5,1616,-5,0,4/10/2018,5:40
2421,7681,3597,6660,-5,1617,-6,0,4/10/2018,5:45
2404,7720,3628,6688,-5,1618,-5,0,4/10/2018,5:50
2411,7680,3662,6872,-6,1619,-6,0,4/10/2018,5:55
2455,7638,3621,7043,-1,1619,-6,0,4/10/2018,6:00
2463,7743,3659,7219,28,1617,-6,0,4/10/2018,6:05
2478,7870,3761,7344,32,1615,-6,0,4/10/2018,6:10
2547,7951,3798,7349,31,1616,-6,0,4/10/2018,6:15
2556,8180,3809,7234,23,1615,-6,0,4/10/2018,6:20
2556,8366,3799,7188,-12,1615,-6,0,4/10/2018,6:25
2584,8518,3804,7122,-34,1616,-6,0,4/10/2018,6:30
2639,8576,3811,7071,-34,1616,-6,0,4/10/2018,6:35
2692,8592,3822,7029,-27,1617,-6,0,4/10/2018,6:40
2797,8485,3818,7045,-6,1616,-6,0,4/10/2018,6:45
2945,8369,3819,7063,-4,1617,-6,0,4/10/2018,6:50
3098,8247,3813,7094,-4,1617,-6,0,4/10/2018,6:55
3284,8259,3803,6994,0,1617,-7,0,4/10/2018,7:00
3479,8420,3787,6813,6,1618,-7,0,4/10/2018,7:05
3692,8517,3791,6637,9,1618,-7,0,4/10/2018,7:10
3940,8404,3794,6589,4,1618,-7,0,4/10/2018,7:15
4222,8172,3727,6614,53,1616,-6,0,4/10/2018,7:20
4533,7932,3688,6599,67,1614,-6,0,4/10/2018,7:25
4848,7775,3606,6557,3,1615,-6,0,4/10/2018,7:30
5210,7725,3585,6421,-20,1613,-7,0,4/10/2018,7:35
5598,7474,3483,6316,-8,1613,-7,0,4/10/2018,7:40
5969,7226,3478,6216,-6,1614,-7,0,4/10/2018,7:45
6328,7046,3490,6070,-27,1614,-6,0,4/10/2018,7:50
6652,7039,3513,5708,-24,1614,-6,0,4/10/2018,7:55
7100,6883,3507,5282,-5,1617,-5,0,4/10/2018,8:00
7437,6598,3371,5286,-7,1617,-5,0,4/10/2018,8:05
7726,6537,3357,5163,-4,1617,-5,0,4/10/2018,8:10
8025,6473,3366,4844,43,1617,-5,0,4/10/2018,8:15
8374,6365,3355,4622,28,1616,-5,0,4/10/2018,8:20
8835,6271,3221,4456,-22,1617,-5,0,4/10/2018,8:25
9089,6730,3032,4386,-4,1616,-5,0,4/10/2018,8:30
9337,6665,3028,4248,-4,1614,-5,0,4/10/2018,8:35
9468,6622,3031,4181,-4,1613,-5,0,4/10/2018,8:40
9710,6578,3023,3998,-14,1613,-5,0,4/10/2018,8:45
9894,6586,2994,3899,-20,1614,-5,0,4/10/2018,8:50
9977,6834,2704,4063,13,1615,-5,0,4/10/2018,8:55
10309,6909,2669,3837,-23,1619,-5,0,4/10/2018,9:00
10479,6744,2640,3876,-4,1619,-5,0,4/10/2018,9:05
10705,6624,2608,3820,0,1619,-5,0,4/10/2018,9:10
10911,6511,2605,3697,1,1618,-6,0,4/10/2018,9:15
10910,6586,2598,3658,1,1616,-6,0,4/10/2018,9:20
10957,6629,2596,3593,1,1614,-6,0,4/10/2018,9:25
11002,6696,2607,3478,2,1615,-7,0,4/10/2018,9:30
11216,6670,2627,3292,-3,1615,-6,0,4/10/2018,9:35
11463,6689,2636,3033,-4,1614,-5,0,4/10/2018,9:40
11508,6705,2640,3005,-4,1614,-5,0,4/10/2018,9:45
11392,6805,2677,2932,16,1614,-5,0,4/10/2018,9:50
11458,6804,2672,2910,24,1615,-5,0,4/10/2018,9:55
11455,6790,2667,2898,25,1615,-4,0,4/10/2018,10:00
11504,6812,2576,2968,3,1614,-4,0,4/10/2018,10:05
11657,6889,2468,2965,9,1613,-5,0,4/10/2018,10:10
11808,6908,2415,2864,3,1614,-6,0,4/10/2018,10:15
12021,6925,2392,2714,-5,1614,-7,0,4/10/2018,10:20
12055,6952,2392,2683,-4,1616,-7,0,4/10/2018,10:25
12105,6937,2401,2639,-5,1616,-8,0,4/10/2018,10:30
12153,6948,2398,2640,-5,1615,-8,0,4/10/2018,10:35
12190,6927,2404,2554,-8,1614,-8,0,4/10/2018,10:40
12167,6924,2396,2712,3,1612,-8,0,4/10/2018,10:45
12310,6923,2395,2608,0,1610,-8,0,4/10/2018,10:50
12337,6923,2400,2602,-1,1610,-8,0,4/10/2018,10:55
12338,6976,2426,2562,21,1609,-7,0,4/10/2018,11:00
12259,6903,2462,2641,38,1611,-7,0,4/10/2018,11:05
12353,6772,2499,2693,23,1611,-7,0,4/10/2018,11:10
12328,6750,2531,2754,14,1610,-7,0,4/10/2018,11:15
12265,6734,2546,2760,-6,1611,-7,0,4/10/2018,11:20
12325,6736,2557,2820,5,1612,-7,0,4/10/2018,11:25
12428,6700,2553,2794,0,1612,-6,0,4/10/2018,11:30
12565,6666,2524,2865,-24,1610,-7,0,4/10/2018,11:35
12551,6707,2527,2940,-23,1609,-7,0,4/10/2018,11:40
12525,6713,2538,2927,-14,1611,-7,0,4/10/2018,11:45
12542,6745,2542,2931,-12,1612,-8,0,4/10/2018,11:50
12539,6763,2542,2931,-14,1612,-7,0,4/10/2018,11:55
12493,6773,2537,2983,-13,1612,-7,0,4/10/2018,12:00
12427,6876,2528,2970,-10,1612,-7,0,4/10/2018,12:05
12439,6948,2532,2948,-7,1614,-7,0,4/10/2018,12:10
12364,6979,2524,3007,-5,1610,-7,0,4/10/2018,12:15
12318,7085,2509,3030,-11,1609,-8,0,4/10/2018,12:20
12364,7092,2503,3023,-12,1608,-7,0,4/10/2018,12:25
12446,7112,2484,2958,-26,1609,-7,0,4/10/2018,12:30
12459,7089,2476,3044,-16,1608,-8,0,4/10/2018,12:35
12530,7052,2486,3098,-18,1609,-8,0,4/10/2018,12:40
12613,7028,2514,3091,-14,1610,-8,0,4/10/2018,12:45
12619,7050,2515,3125,-16,1608,-8,0,4/10/2018,12:50
12772,7038,2515,3054,-8,1608,-8,0,4/10/2018,12:55
12806,6931,2503,3108,-11,1610,-7,0,4/10/2018,13:00
12763,6944,2551,3184,1,1609,-6,0,4/10/2018,13:05
12747,6988,2581,3215,1,1609,-6,0,4/10/2018,13:10
12799,6967,2575,3247,-5,1608,-7,0,4/10/2018,13:15
12746,7069,2579,3323,8,1609,-8,0,4/10/2018,13:20
12644,7097,2600,3387,15,1609,-7,0,4/10/2018,13:25
12605,7191,2643,3415,19,1610,-7,0,4/10/2018,13:30
12611,6959,2850,3352,15,1609,-7,0,4/10/2018,13:35
12634,6640,2913,3470,13,1608,-7,0,4/10/2018,13:40
12679,6620,2901,3482,6,1611,-7,0,4/10/2018,13:45
12665,6656,2914,3561,-2,1610,-6,0,4/10/2018,13:50
12671,6701,2922,3568,-2,1612,-6,0,4/10/2018,13:55
12598,6740,2923,3584,-2,1611,-6,0,4/10/2018,14:00
12666,6810,2931,3495,-13,1612,-6,0,4/10/2018,14:05
12715,6836,2912,3499,-34,1613,-7,0,4/10/2018,14:10
12786,6917,2914,3474,-41,1613,-7,0,4/10/2018,14:15
12850,6944,2919,3457,-40,1610,-6,0,4/10/2018,14:20
12874,6950,2934,3413,-18,1608,-7,0,4/10/2018,14:25
12934,6899,2938,3407,-8,1607,-7,0,4/10/2018,14:30
12971,6889,2922,3487,-23,1607,-7,0,4/10/2018,14:35
12877,6956,2917,3587,-20,1607,-7,0,4/10/2018,14:40
12770,6996,2925,3649,-5,1611,-8,0,4/10/2018,14:45
12754,7011,2934,3718,3,1610,-8,0,4/10/2018,14:50
12911,7045,2913,3634,-7,1609,-8,0,4/10/2018,14:55
12807,7085,2930,3755,-8,1610,-7,0,4/10/2018,15:00
12679,7144,2996,3787,10,1610,-6,0,4/10/2018,15:05
12684,7088,3048,3807,56,1610,-7,0,4/10/2018,15:10
12609,7072,3042,3984,37,1612,-8,0,4/10/2018,15:15
12517,7305,3057,3935,-10,1612,-7,0,4/10/2018,15:20
12584,7467,3076,3819,-20,1612,-7,0,4/10/2018,15:25
12472,7545,3112,3813,-9,1612,-7,0,4/10/2018,15:30
12454,7474,3322,3664,-23,1614,-8,0,4/10/2018,15:35
12434,7170,3442,3706,-13,1613,-8,0,4/10/2018,15:40
12400,7266,3440,3703,-4,1615,-8,0,4/10/2018,15:45
12388,7369,3431,3662,-4,1614,-8,0,4/10/2018,15:50
12360,7511,3430,3635,-4,1614,-9,0,4/10/2018,15:55
12304,7507,3375,3794,-4,1614,-9,0,4/10/2018,16:00
12285,7380,3311,4036,-5,1613,-8,0,4/10/2018,16:05
12220,7501,3293,4075,-6,1612,-8,0,4/10/2018,16:10
12113,7592,3302,4120,-2,1613,-9,0,4/10/2018,16:15
12084,7651,3295,4115,-3,1614,-8,0,4/10/2018,16:20
11865,7737,3306,4229,2,1615,-7,0,4/10/2018,16:25
11665,7843,3300,4363,1,1615,-7,0,4/10/2018,16:30
11390,8061,3233,4500,-7,1616,-7,0,4/10/2018,16:35
11115,8189,3213,4713,1,1616,-7,0,4/10/2018,16:40
11018,8321,3236,4762,13,1616,-8,0,4/10/2018,16:45
10949,8382,3307,4748,10,1614,-7,0,4/10/2018,16:50
10766,8469,3307,4879,5,1616,-7,0,4/10/2018,16:55
10627,8603,3327,4903,-3,1616,-6,0,4/10/2018,17:00
10732,8361,3282,4994,-11,1615,-7,0,4/10/2018,17:05
10572,8248,3317,5217,-12,1615,-8,0,4/10/2018,17:10
10302,8391,3334,5406,-4,1614,-8,0,4/10/2018,17:15
10064,8534,3354,5491,-1,1613,-8,0,4/10/2018,17:20
9634,9013,3365,5458,-2,1615,-8,0,4/10/2018,17:25
9248,9386,3409,5517,-3,1616,-8,0,4/10/2018,17:30
8917,9558,3513,5547,-4,1616,-8,0,4/10/2018,17:35
8500,9775,3590,5680,6,1615,-7,0,4/10/2018,17:40
8045,10141,3624,5710,48,1617,-8,0,4/10/2018,17:45
7782,10489,3672,5672,53,1616,-8,0,4/10/2018,17:50
7487,10703,3666,5686,56,1616,-8,0,4/10/2018,17:55
7225,10843,3650,5861,23,1615,-8,0,4/10/2018,18:00
6845,11062,3838,5791,23,1615,-9,0,4/10/2018,18:05
6592,10983,3836,5923,18,1616,-9,0,4/10/2018,18:10
6336,11248,3833,5978,19,1616,-10,0,4/10/2018,18:15
6032,11839,3798,5744,18,1617,-9,0,4/10/2018,18:20
5721,11783,3830,6073,26,1619,-9,0,4/10/2018,18:25
5487,11850,3881,6186,35,1617,-8,0,4/10/2018,18:30
5218,12090,3884,6215,20,1618,-8,0,4/10/2018,18:35
4994,12184,3902,6256,23,1617,-7,0,4/10/2018,18:40
4724,12387,3904,6327,24,1617,-7,0,4/10/2018,18:45
4496,12598,3908,6386,28,1616,-8,0,4/10/2018,18:50
4310,12590,3941,6559,33,1616,-7,0,4/10/2018,18:55
4133,12565,3960,6726,31,1615,-7,0,4/10/2018,19:00
4003,12563,4099,6784,7,1617,-7,0,4/10/2018,19:05
3908,12433,4131,6978,-2,1616,-7,0,4/10/2018,19:10
3832,12467,4166,7054,-2,1617,-7,0,4/10/2018,19:15
