INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-04-01T07:00:00-00:00,2021-04-01T08:00:00-00:00,0,2021-04-01,1,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2604,ACTUAL,1
2021-04-01T13:00:00-00:00,2021-04-01T14:00:00-00:00,0,2021-04-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2880,ACTUAL,1
2021-04-01T20:00:00-00:00,2021-04-01T21:00:00-00:00,0,2021-04-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2829,ACTUAL,1
2021-04-01T08:00:00-00:00,2021-04-01T09:00:00-00:00,0,2021-04-01,2,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2509,ACTUAL,1
2021-04-01T23:00:00-00:00,2021-04-02T00:00:00-00:00,0,2021-04-01,17,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3469,ACTUAL,1
2021-04-01T11:00:00-00:00,2021-04-01T12:00:00-00:00,0,2021-04-01,5,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2537,ACTUAL,1
2021-04-02T02:00:00-00:00,2021-04-02T03:00:00-00:00,0,2021-04-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3694,ACTUAL,1
2021-04-01T12:00:00-00:00,2021-04-01T13:00:00-00:00,0,2021-04-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2710,ACTUAL,1
2021-04-01T15:00:00-00:00,2021-04-01T16:00:00-00:00,0,2021-04-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2668,ACTUAL,1
2021-04-01T14:00:00-00:00,2021-04-01T15:00:00-00:00,0,2021-04-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2809,ACTUAL,1
2021-04-01T16:00:00-00:00,2021-04-01T17:00:00-00:00,0,2021-04-01,10,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2547,ACTUAL,1
2021-04-01T19:00:00-00:00,2021-04-01T20:00:00-00:00,0,2021-04-01,13,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2656,ACTUAL,1
2021-04-01T21:00:00-00:00,2021-04-01T22:00:00-00:00,0,2021-04-01,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3019,ACTUAL,1
2021-04-02T00:00:00-00:00,2021-04-02T01:00:00-00:00,0,2021-04-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3659,ACTUAL,1
2021-04-02T01:00:00-00:00,2021-04-02T02:00:00-00:00,0,2021-04-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3708,ACTUAL,1
2021-04-02T03:00:00-00:00,2021-04-02T04:00:00-00:00,0,2021-04-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3606,ACTUAL,1
2021-04-02T05:00:00-00:00,2021-04-02T06:00:00-00:00,0,2021-04-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3171,ACTUAL,1
2021-04-02T04:00:00-00:00,2021-04-02T05:00:00-00:00,0,2021-04-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3420,ACTUAL,1
2021-04-02T06:00:00-00:00,2021-04-02T07:00:00-00:00,0,2021-04-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2946,ACTUAL,1
2021-04-01T09:00:00-00:00,2021-04-01T10:00:00-00:00,0,2021-04-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2461,ACTUAL,1
2021-04-01T17:00:00-00:00,2021-04-01T18:00:00-00:00,0,2021-04-01,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2489,ACTUAL,1
2021-04-01T22:00:00-00:00,2021-04-01T23:00:00-00:00,0,2021-04-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3224,ACTUAL,1
2021-04-01T10:00:00-00:00,2021-04-01T11:00:00-00:00,0,2021-04-01,4,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2457,ACTUAL,1
2021-04-01T18:00:00-00:00,2021-04-01T19:00:00-00:00,0,2021-04-01,12,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2533,ACTUAL,1
2021-04-01T09:00:00-00:00,2021-04-01T10:00:00-00:00,0,2021-04-01,3,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1334,ACTUAL,2
2021-04-02T00:00:00-00:00,2021-04-02T01:00:00-00:00,0,2021-04-01,18,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2057,ACTUAL,2
2021-04-01T14:00:00-00:00,2021-04-01T15:00:00-00:00,0,2021-04-01,8,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1667,ACTUAL,2
2021-04-01T15:00:00-00:00,2021-04-01T16:00:00-00:00,0,2021-04-01,9,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1670,ACTUAL,2
2021-04-01T17:00:00-00:00,2021-04-01T18:00:00-00:00,0,2021-04-01,11,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1692,ACTUAL,2
2021-04-01T19:00:00-00:00,2021-04-01T20:00:00-00:00,0,2021-04-01,13,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1788,ACTUAL,2
2021-04-01T21:00:00-00:00,2021-04-01T22:00:00-00:00,0,2021-04-01,15,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1920,ACTUAL,2
2021-04-01T22:00:00-00:00,2021-04-01T23:00:00-00:00,0,2021-04-01,16,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1996,ACTUAL,2
2021-04-01T23:00:00-00:00,2021-04-02T00:00:00-00:00,0,2021-04-01,17,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2060,ACTUAL,2
2021-04-02T02:00:00-00:00,2021-04-02T03:00:00-00:00,0,2021-04-01,20,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2001,ACTUAL,2
2021-04-01T07:00:00-00:00,2021-04-01T08:00:00-00:00,0,2021-04-01,1,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1393,ACTUAL,2
2021-04-01T12:00:00-00:00,2021-04-01T13:00:00-00:00,0,2021-04-01,6,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1594,ACTUAL,2
2021-04-01T10:00:00-00:00,2021-04-01T11:00:00-00:00,0,2021-04-01,4,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1379,ACTUAL,2
2021-04-01T13:00:00-00:00,2021-04-01T14:00:00-00:00,0,2021-04-01,7,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1655,ACTUAL,2
2021-04-02T01:00:00-00:00,2021-04-02T02:00:00-00:00,0,2021-04-01,19,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2058,ACTUAL,2
2021-04-02T05:00:00-00:00,2021-04-02T06:00:00-00:00,0,2021-04-01,23,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1568,ACTUAL,2
2021-04-01T08:00:00-00:00,2021-04-01T09:00:00-00:00,0,2021-04-01,2,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1348,ACTUAL,2
2021-04-02T03:00:00-00:00,2021-04-02T04:00:00-00:00,0,2021-04-01,21,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1870,ACTUAL,2
2021-04-02T04:00:00-00:00,2021-04-02T05:00:00-00:00,0,2021-04-01,22,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1713,ACTUAL,2
2021-04-01T18:00:00-00:00,2021-04-01T19:00:00-00:00,0,2021-04-01,12,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1734,ACTUAL,2
2021-04-02T06:00:00-00:00,2021-04-02T07:00:00-00:00,0,2021-04-01,24,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1480,ACTUAL,2
2021-04-01T16:00:00-00:00,2021-04-01T17:00:00-00:00,0,2021-04-01,10,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1671,ACTUAL,2
2021-04-01T20:00:00-00:00,2021-04-01T21:00:00-00:00,0,2021-04-01,14,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1857,ACTUAL,2
2021-04-01T11:00:00-00:00,2021-04-01T12:00:00-00:00,0,2021-04-01,5,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1484,ACTUAL,2
2021-04-01T09:00:00-00:00,2021-04-01T10:00:00-00:00,0,2021-04-01,3,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,226,ACTUAL,3
2021-04-01T23:00:00-00:00,2021-04-02T00:00:00-00:00,0,2021-04-01,17,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,316,ACTUAL,3
2021-04-01T15:00:00-00:00,2021-04-01T16:00:00-00:00,0,2021-04-01,9,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,269,ACTUAL,3
2021-04-01T17:00:00-00:00,2021-04-01T18:00:00-00:00,0,2021-04-01,11,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,271,ACTUAL,3
2021-04-02T00:00:00-00:00,2021-04-02T01:00:00-00:00,0,2021-04-01,18,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,324,ACTUAL,3
