INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2018-04-02T01:31:00-00:00,2018-04-02T02:31:00-00:00,0,2018-04-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3233,ACTUAL,1
2018-04-01T20:31:00-00:00,2018-04-01T21:31:00-00:00,0,2018-04-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2437,ACTUAL,1
2018-04-02T06:31:00-00:00,2018-04-02T07:31:00-00:00,0,2018-04-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2866,ACTUAL,1
2018-04-01T10:31:00-00:00,2018-04-01T11:31:00-00:00,0,2018-04-01,4,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2308,ACTUAL,1
2018-04-01T14:31:00-00:00,2018-04-01T15:31:00-00:00,0,2018-04-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2327,ACTUAL,1
2018-04-01T22:31:00-00:00,2018-04-01T23:31:00-00:00,0,2018-04-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2731,ACTUAL,1
2018-04-02T05:31:00-00:00,2018-04-02T06:31:00-00:00,0,2018-04-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3127,ACTUAL,1
2018-04-01T09:31:00-00:00,2018-04-01T10:31:00-00:00,0,2018-04-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2391,ACTUAL,1
2018-04-01T15:31:00-00:00,2018-04-01T16:31:00-00:00,0,2018-04-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2385,ACTUAL,1
2018-04-02T00:31:00-00:00,2018-04-02T01:31:00-00:00,0,2018-04-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3056,ACTUAL,1
2018-04-02T02:31:00-00:00,2018-04-02T03:31:00-00:00,0,2018-04-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3277,ACTUAL,1
2018-04-02T04:31:00-00:00,2018-04-02T05:31:00-00:00,0,2018-04-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3306,ACTUAL,1
