INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,0,2021-01-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3179,ACTUAL,1
2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,0,2021-01-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3182,ACTUAL,1
2021-01-01T12:00:00-00:00,2021-01-01T13:00:00-00:00,0,2021-01-01,5,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3063,ACTUAL,1
2021-01-01T14:00:00-00:00,2021-01-01T15:00:00-00:00,0,2021-01-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3324,ACTUAL,1
2021-01-01T20:00:00-00:00,2021-01-01T21:00:00-00:00,0,2021-01-01,13,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2238,ACTUAL,1
2021-01-01T21:00:00-00:00,2021-01-01T22:00:00-00:00,0,2021-01-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2248,ACTUAL,1
2021-01-01T17:00:00-00:00,2021-01-01T18:00:00-00:00,0,2021-01-01,10,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2653,ACTUAL,1
2021-01-01T18:00:00-00:00,2021-01-01T19:00:00-00:00,0,2021-01-01,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2449,ACTUAL,1
2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,0,2021-01-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2959,ACTUAL,1
2021-01-02T07:00:00-00:00,2021-01-02T08:00:00-00:00,0,2021-01-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2901,ACTUAL,1
2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,0,2021-01-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2882,ACTUAL,1
2021-01-01T19:00:00-00:00,2021-01-01T20:00:00-00:00,0,2021-01-01,12,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2307,ACTUAL,1
2021-01-01T23:00:00-00:00,2021-01-02T00:00:00-00:00,0,2021-01-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2590,ACTUAL,1
2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,0,2021-01-01,17,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2962,ACTUAL,1
2021-01-01T22:00:00-00:00,2021-01-01T23:00:00-00:00,0,2021-01-01,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2347,ACTUAL,1
2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,0,2021-01-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3060,ACTUAL,1
2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,0,2021-01-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3186,ACTUAL,1
2021-01-01T13:00:00-00:00,2021-01-01T14:00:00-00:00,0,2021-01-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3224,ACTUAL,1
2021-01-01T16:00:00-00:00,2021-01-01T17:00:00-00:00,0,2021-01-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2925,ACTUAL,1
2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,0,2021-01-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3150,ACTUAL,1
