INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2019-02-01T15:00:00-00:00,2019-02-01T16:00:00-00:00,0,2019-02-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2997,ACTUAL,1
2019-02-01T17:00:00-00:00,2019-02-01T18:00:00-00:00,0,2019-02-01,10,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2555,ACTUAL,1
2019-02-01T21:00:00-00:00,2019-02-01T22:00:00-00:00,0,2019-02-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2366,ACTUAL,1
2019-02-01T19:00:00-00:00,2019-02-01T20:00:00-00:00,0,2019-02-01,12,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2345,ACTUAL,1
2019-02-01T22:00:00-00:00,2019-02-01T23:00:00-00:00,0,2019-02-01,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2461,ACTUAL,1
2019-02-01T23:00:00-00:00,2019-02-02T00:00:00-00:00,0,2019-02-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2729,ACTUAL,1
2019-02-02T01:00:00-00:00,2019-02-02T02:00:00-00:00,0,2019-02-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3021,ACTUAL,1
2019-02-01T09:00:00-00:00,2019-02-01T10:00:00-00:00,0,2019-02-01,2,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2368,ACTUAL,1
2019-02-01T18:00:00-00:00,2019-02-01T19:00:00-00:00,0,2019-02-01,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2421,ACTUAL,1
2019-02-02T07:00:00-00:00,2019-02-02T08:00:00-00:00,0,2019-02-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2468,ACTUAL,1
2019-02-01T10:00:00-00:00,2019-02-01T11:00:00-00:00,0,2019-02-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2382,ACTUAL,1
2019-02-01T11:00:00-00:00,2019-02-01T12:00:00-00:00,0,2019-02-01,4,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2486,ACTUAL,1
2019-02-01T13:00:00-00:00,2019-02-01T14:00:00-00:00,0,2019-02-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3101,ACTUAL,1
2019-02-01T16:00:00-00:00,2019-02-01T17:00:00-00:00,0,2019-02-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2663,ACTUAL,1
2019-02-02T02:00:00-00:00,2019-02-02T03:00:00-00:00,0,2019-02-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3005,ACTUAL,1
2019-02-02T03:00:00-00:00,2019-02-02T04:00:00-00:00,0,2019-02-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2970,ACTUAL,1
2019-02-02T04:00:00-00:00,2019-02-02T05:00:00-00:00,0,2019-02-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2836,ACTUAL,1
2019-02-02T06:00:00-00:00,2019-02-02T07:00:00-00:00,0,2019-02-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2606,ACTUAL,1
2019-02-01T12:00:00-00:00,2019-02-01T13:00:00-00:00,0,2019-02-01,5,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2859,ACTUAL,1
2019-02-01T14:00:00-00:00,2019-02-01T15:00:00-00:00,0,2019-02-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3091,ACTUAL,1
2019-02-02T00:00:00-00:00,2019-02-02T01:00:00-00:00,0,2019-02-01,17,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2928,ACTUAL,1
2019-02-02T05:00:00-00:00,2019-02-02T06:00:00-00:00,0,2019-02-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2690,ACTUAL,1
2019-02-01T08:00:00-00:00,2019-02-01T09:00:00-00:00,0,2019-02-01,1,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2392,ACTUAL,1
