Vehicle,Acceptance Rate (kW),Battery Size (kWh),Level 1 PCS-15 1.4kW,Level 2 SCH-15 1.4kW,Level 2 SCH-20 3.8kW,Level 2 SCH-25 4.8kW,Level 2 SCH-30 5.8kW,Level 2 EV-40 7.7kW,Level 2 EV-50 9.6kW,Level 2 EV-60 11.5kW
BMW ActiveE,7.0,32.0,23.0,23.0,8.5,6.5,5.5,4.5,4.5,4.5
BMW i3 2014-2016,7.4,23.0,16.5,16.5,6.0,5.0,4.0,3.0,3.0,3.0
BMW i3 2017 (60 Ah battery),7.4,23.0,16.5,16.5,6.0,5.0,4.0,3.0,3.0,3.0
BMW i3 2017 (90 Ah battery),7.4,32.0,23.0,23.0,8.5,6.5,5.5,4.5,4.5,4.5
Chevy Bolt,7.2,60.0,43.0,43.0,16.0,12.5,10.5,8.5,8.5,8.5
Chevy Spark,3.3,23.0,16.5,16.5,7.0,7.0,7.0,7.0,7.0,7.0
Coda,6.6,31.0,22.0,22.0,8.0,6.5,5.5,4.5,4.5,4.5
Fiat 500E,6.6,24.0,17.0,17.0,6.5,5.0,4.0,3.5,3.5,3.5
Ford Focus EV,6.6,23.0,16.5,16.5,6.0,5.0,4.0,3.5,3.5,3.5
Ford Focus EV 2017,6.6,33.5,24.0,24.0,9.0,7.0,6.0,5.0,5.0,5.0
Honda Clarity EV,6.6,25.5,18.0,18.0,6.5,5.5,4.5,4.0,4.0,4.0
Hyundai Ioniq,6.6,28.0,20.0,20.0,7.5,6.0,5.0,4.0,4.0,4.0
Kia Soul,6.6,27.0,19.5,19.5,7.0,5.5,4.5,4.0,4.0,4.0
Mercedes B Class B250e,9.6,28.0,20.0,20.0,7.5,6.0,5.0,3.5,3.0,3.0
Mitsubishi i-MiEV,3.3,16.0,11.5,11.5,5.0,5.0,5.0,5.0,5.0,5.0
Nissan Leaf 2011-12,3.3,24.0,17.0,17.0,7.5,7.5,7.5,7.5,7.5,7.5
Nissan Leaf 2013-16 S,3.3,24.0,17.0,17.0,7.5,7.5,7.5,7.5,7.5,7.5
Nissan Leaf S 2013-15,6.6,24.0,17.0,17.0,6.5,5.0,4.0,3.5,3.5,3.5
Nissan Leaf S 2016,6.6,24.0,17.0,17.0,6.5,5.0,4.0,3.5,3.5,3.5
Nissan Leaf S 2016,6.6,30.0,21.5,21.5,8.0,6.5,5.0,4.5,4.5,4.5
Nissan Leaf 2017,3.3,30.0,21.5,21.5,9.0,9.0,9.0,9.0,9.0,9.0
Nissan Leaf 2017,6.6,30.0,21.5,21.5,8.0,6.5,5.0,4.5,4.5,4.5
Nissan Leaf 2018 S,3.3,40.0,28.5,28.5,12.0,12.0,12.0,12.0,12.0,12.0
Nissan Leaf 2018,6.6,40.0,28.5,28.5,10.5,8.5,7.0,6.0,6.0,6.0
Smart Car,3.3,17.6,12.5,12.5,5.5,5.5,5.5,5.5,5.5,5.5
Smart Fortwo ED 2017,7.2,17.6,12.5,12.5,4.5,3.5,3.0,2.5,2.5,2.5
Tesla Model 3 Standard,7.7,50.0,35.5,35.5,13.0,10.5,8.5,6.5,6.5,6.5
Tesla Model 3 Long Range,9.6,70.0,50.0,50.0,18.5,14.5,12.0,9.0,7.5,7.5
Tesla Model S 60 Single,9.6,60.0,43.0,43.0,16.0,12.5,10.5,8.0,6.5,6.5
Tesla Model S 70 Single,9.6,70.0,50.0,50.0,18.5,14.5,12.0,9.0,7.5,7.5
Tesla Model S 75 & 75D,11.5,75.0,53.5,53.5,19.5,15.5,13.0,9.5,8.0,6.5
Tesla Model S 85 Single,9.6,85.0,60.5,60.5,22.5,17.5,14.5,11.0,9.0,9.0
Tesla Model S 90 Single,9.6,90.0,64.5,64.5,23.5,19.0,15.5,11.5,9.5,9.5
Tesla Model S 60 Dual,19.2,60.0,43.0,43.0,16.0,12.5,10.5,8.0,6.5,5.0
Tesla Model S 70 Dual,19.2,70.0,50.0,50.0,18.5,14.5,12.0,9.0,7.5,6.0
Tesla Model S 85 Dual,19.2,85.0,60.5,60.5,22.5,17.5,14.5,11.0,9.0,7.5
Tesla Model S 90 Dual,19.2,90.0,64.5,64.5,23.5,19.0,15.5,11.5,9.5,8.0
Tesla Model S 100D & P100D,17.2,100.0,71.5,71.5,26.5,21.0,17.0,13.0,10.5,8.5
Tesla Model X 60 Single,11.5,60.0,43.0,43.0,16.0,12.5,10.5,8.0,6.5,5.0
Tesla Model X 75 Single,11.5,75.0,53.5,53.5,19.5,15.5,13.0,9.5,8.0,6.5
Tesla Model X 90 Single,11.5,90.0,64.5,64.5,23.5,19.0,15.5,11.5,9.5,8.0
Tesla Model X 60 Dual,17.2,60.0,43.0,43.0,16.0,12.5,10.5,8.0,6.5,5.0
Tesla Model X 75 Dual,17.2,75.0,53.5,53.5,19.5,15.5,13.0,9.5,8.0,6.5
Tesla Model X 90 Dual,17.2,90.0,64.5,64.5,23.5,19.0,15.5,11.5,9.5,8.0
Tesla Model X 100D & P100D,17.2,100.0,71.5,71.5,26.5,21.0,17.0,13.0,10.5,8.5
Tesla Roadster,17.2,56.0,40.0,40.0,14.5,11.5,9.5,7.5,6.0,5.0
Toyota Rav4,9.6,41.8,30.0,30.0,11.0,8.5,7.0,5.5,4.5,4.5
VW e-Golf,3.6,24.0,17.0,17.0,6.5,6.5,6.5,6.5,6.5,6.5
VW e-Golf,7.2,24.0,17.0,17.0,6.5,5.0,4.0,3.5,3.5,3.5
VW e-Golf 2017,7.2,35.8,25.5,25.5,9.5,7.5,6.0,5.0,5.0,5.0
Zenith 350 Van,9.6,62.5,44.5,44.5,16.5,13.0,11.0,8.0,6.5,6.5
Zenith 350 Van Upgrade,19.2,62.5,44.5,44.5,16.5,13.0,11.0,8.0,6.5,5.5
