Vehicle,Acceptance Rate (MW),Battery Size (MWh),Level 1 PCS-15 0.0014MW,Level 2 SCH-15 1.4kW,Level 2 SCH-20 0.0038MW,Level 2 SCH-25 0.0048MW,Level 2 SCH-30 0.0058MW,Level 2 EV-40 0.0077MW,Level 2 EV-50 0.0096MW,Level 2 EV-60 0.00115MW
BMW ActiveE,0.007,0.032,23.0,23.0,8.5,6.5,5.5,4.5,4.5,4.5
BMW i3 2014-2016,0.0074,0.023,16.5,16.5,6.0,5.0,4.0,3.0,3.0,3.0
BMW i3 2017 (60 Ah battery),0.0074,0.023,16.5,16.5,6.0,5.0,4.0,3.0,3.0,3.0
BMW i3 2017 (90 Ah battery),0.0074,0.032,23.0,23.0,8.5,6.5,5.5,4.5,4.5,4.5
Chevy Bolt,0.0072,0.06,43.0,43.0,16.0,12.5,10.5,8.5,8.5,8.5
Chevy Spark,0.0033,0.023,16.5,16.5,7.0,7.0,7.0,7.0,7.0,7.0
Coda,0.0066,0.031,22.0,22.0,8.0,6.5,5.5,4.5,4.5,4.5
Fiat 500E,0.0066,0.024,17.0,17.0,6.5,5.0,4.0,3.5,3.5,3.5
Ford Focus EV,0.0066,0.023,16.5,16.5,6.0,5.0,4.0,3.5,3.5,3.5
Ford Focus EV 2017,0.0066,0.0335,24.0,24.0,9.0,7.0,6.0,5.0,5.0,5.0
Honda Clarity EV,0.0066,0.0255,18.0,18.0,6.5,5.5,4.5,4.0,4.0,4.0
Hyundai Ioniq,0.0066,0.028,20.0,20.0,7.5,6.0,5.0,4.0,4.0,4.0
Kia Soul,0.0066,0.027,19.5,19.5,7.0,5.5,4.5,4.0,4.0,4.0
Mercedes B Class B250e,0.0096,0.028,20.0,20.0,7.5,6.0,5.0,3.5,3.0,3.0
Mitsubishi i-MiEV,0.0033,0.016,11.5,11.5,5.0,5.0,5.0,5.0,5.0,5.0
Nissan Leaf 2011-12,0.0033,0.024,17.0,17.0,7.5,7.5,7.5,7.5,7.5,7.5
Nissan Leaf 2013-16 S,0.0033,0.024,17.0,17.0,7.5,7.5,7.5,7.5,7.5,7.5
Nissan Leaf S 2013-15,0.0066,0.024,17.0,17.0,6.5,5.0,4.0,3.5,3.5,3.5
Nissan Leaf S 2016,0.0066,0.024,17.0,17.0,6.5,5.0,4.0,3.5,3.5,3.5
Nissan Leaf S 2016,0.0066,0.03,21.5,21.5,8.0,6.5,5.0,4.5,4.5,4.5
Nissan Leaf 2017,0.0033,0.03,21.5,21.5,9.0,9.0,9.0,9.0,9.0,9.0
Nissan Leaf 2017,0.0066,0.03,21.5,21.5,8.0,6.5,5.0,4.5,4.5,4.5
Nissan Leaf 2018 S,0.0033,0.04,28.5,28.5,12.0,12.0,12.0,12.0,12.0,12.0
